model,precision,task,metric,n,mean,ci_lo,ci_hi
llama32-3b,q4_k_m,hotpotqa,em,300,0.480000,0.426667,0.543333
llama32-3b,q4_k_m,hotpotqa,f1,300,0.619272,0.572392,0.669826
llama32-3b,q4_k_m,truthfulqa_mc1,mc1,817,0.308446,0.275398,0.340269
llama32-3b,q4_k_m,truthfulqa_mc2,mc2,817,0.475801,0.445451,0.506928
llama32-3b,q8_0,cnndm,rouge1,150,0.382812,0.367721,0.397546
llama32-3b,q8_0,cnndm,rouge2,150,0.142007,0.130558,0.153338
llama32-3b,q8_0,cnndm,rougeL,150,0.236956,0.225900,0.248210
llama32-3b,q8_0,cuad,em,200,0.030000,0.010000,0.055000
llama32-3b,q8_0,cuad,f1,200,0.408919,0.360062,0.457350
llama32-3b,q8_0,hotpotqa,em,300,0.450000,0.396667,0.510000
llama32-3b,q8_0,hotpotqa,f1,300,0.602562,0.555062,0.651122
llama32-3b,q8_0,truthfulqa_mc1,mc1,817,0.301102,0.268054,0.332925
llama32-3b,q8_0,truthfulqa_mc2,mc2,817,0.466044,0.436668,0.496514
mistral7b,fp16,cnndm,rouge1,150,0.380784,0.365953,0.394844
mistral7b,fp16,cnndm,rouge2,150,0.137006,0.125708,0.148640
mistral7b,fp16,cnndm,rougeL,150,0.234846,0.223428,0.246245
mistral7b,fp16,cuad,em,200,0.065000,0.035000,0.100000
mistral7b,fp16,cuad,f1,200,0.498946,0.458926,0.541475
mistral7b,fp16,hotpotqa,em,300,0.423333,0.370000,0.476667
mistral7b,fp16,hotpotqa,f1,300,0.611407,0.565425,0.657054
mistral7b,fp16,truthfulqa_mc1,mc1,817,0.351285,0.321909,0.385557
mistral7b,fp16,truthfulqa_mc2,mc2,817,0.508799,0.478515,0.541640
mistral7b,q4_k_m,cnndm,rouge1,150,0.389500,0.374794,0.403848
mistral7b,q4_k_m,cnndm,rouge2,150,0.144156,0.132034,0.156153
mistral7b,q4_k_m,cnndm,rougeL,150,0.242966,0.231559,0.254401
mistral7b,q4_k_m,cuad,em,200,0.055000,0.025000,0.090000
mistral7b,q4_k_m,cuad,f1,200,0.465535,0.423831,0.507015
mistral7b,q4_k_m,hotpotqa,em,300,0.430000,0.373333,0.486667
mistral7b,q4_k_m,hotpotqa,f1,300,0.625724,0.578305,0.669926
mistral7b,q4_k_m,truthfulqa_mc1,mc1,817,0.340269,0.312118,0.374541
mistral7b,q4_k_m,truthfulqa_mc2,mc2,817,0.513243,0.481820,0.546310
mistral7b,q8_0,cnndm,rouge1,150,0.380316,0.365427,0.394463
mistral7b,q8_0,cnndm,rouge2,150,0.137281,0.125961,0.148763
mistral7b,q8_0,cnndm,rougeL,150,0.234464,0.222818,0.246047
mistral7b,q8_0,cuad,em,200,0.065000,0.035000,0.100000
mistral7b,q8_0,cuad,f1,200,0.497018,0.454563,0.540146
mistral7b,q8_0,hotpotqa,em,300,0.416667,0.363333,0.473333
mistral7b,q8_0,hotpotqa,f1,300,0.609319,0.562515,0.654549
mistral7b,q8_0,truthfulqa_mc1,mc1,817,0.343941,0.315789,0.378213
mistral7b,q8_0,truthfulqa_mc2,mc2,817,0.504528,0.474199,0.537851
phi3-mini,fp16,cnndm,rouge1,150,0.373940,0.355007,0.391627
phi3-mini,fp16,cnndm,rouge2,150,0.133996,0.120697,0.146206
phi3-mini,fp16,cnndm,rougeL,150,0.235329,0.221669,0.248462
phi3-mini,fp16,cuad,em,200,0.045000,0.020000,0.075000
phi3-mini,fp16,cuad,f1,200,0.368500,0.324278,0.415730
phi3-mini,fp16,hotpotqa,em,300,0.343333,0.293333,0.396667
phi3-mini,fp16,hotpotqa,f1,300,0.477914,0.430470,0.526251
phi3-mini,fp16,truthfulqa_mc1,mc1,817,0.332925,0.302326,0.367197
phi3-mini,fp16,truthfulqa_mc2,mc2,817,0.502850,0.474907,0.531391
phi3-mini,q4_k_m,cnndm,rouge1,150,0.367657,0.349063,0.384945
phi3-mini,q4_k_m,cnndm,rouge2,150,0.127569,0.115145,0.139104
phi3-mini,q4_k_m,cnndm,rougeL,150,0.225272,0.212267,0.237921
phi3-mini,q4_k_m,cuad,em,200,0.040000,0.015000,0.070000
phi3-mini,q4_k_m,cuad,f1,200,0.338098,0.298297,0.383684
phi3-mini,q4_k_m,hotpotqa,em,300,0.320000,0.266667,0.373333
phi3-mini,q4_k_m,hotpotqa,f1,300,0.452814,0.403014,0.500515
phi3-mini,q4_k_m,truthfulqa_mc1,mc1,817,0.323133,0.292534,0.354957
phi3-mini,q4_k_m,truthfulqa_mc2,mc2,817,0.487507,0.457612,0.516642
phi3-mini,q8_0,cnndm,rouge1,150,0.376066,0.357229,0.394135
phi3-mini,q8_0,cnndm,rouge2,150,0.131936,0.119527,0.143797
phi3-mini,q8_0,cnndm,rougeL,150,0.232933,0.219476,0.246182
phi3-mini,q8_0,cuad,em,200,0.045000,0.020000,0.075000
phi3-mini,q8_0,cuad,f1,200,0.367134,0.323346,0.414870
phi3-mini,q8_0,hotpotqa,em,300,0.350000,0.300000,0.403333
phi3-mini,q8_0,hotpotqa,f1,300,0.485339,0.436459,0.532211
phi3-mini,q8_0,truthfulqa_mc1,mc1,817,0.325581,0.294982,0.359853
phi3-mini,q8_0,truthfulqa_mc2,mc2,817,0.502048,0.474486,0.531352
