model,task,metric,precision,n,mean,ci_lo,ci_hi,delta_vs_fp16,delta_lo,delta_hi,n_paired,distinguishable,n_identical
llama32-3b,hotpotqa,em,q4_k_m,300,0.480000,0.426667,0.543333,0.030000,-0.003333,0.060000,300,False,277
llama32-3b,hotpotqa,em,q8_0,300,0.450000,0.396667,0.510000,0.000000,-0.013333,0.013333,300,False,296
llama32-3b,hotpotqa,f1,fp16,300,0.604382,0.557055,0.652542,,,,,,
llama32-3b,hotpotqa,f1,q4_k_m,300,0.619272,0.572392,0.669826,0.014890,-0.013896,0.042168,300,False,265
llama32-3b,hotpotqa,f1,q8_0,300,0.602562,0.555062,0.651122,-0.001820,-0.007484,0.002012,300,False,294
llama32-3b,truthfulqa_mc1,mc1,fp16,817,0.301102,0.269278,0.332925,,,,,,
llama32-3b,truthfulqa_mc1,mc1,q4_k_m,817,0.308446,0.275398,0.340269,0.007344,-0.002448,0.018360,817,False,797
llama32-3b,truthfulqa_mc1,mc1,q8_0,817,0.301102,0.268054,0.332925,0.000000,-0.008568,0.008568,817,False,805
llama32-3b,truthfulqa_mc2,mc2,fp16,817,0.464951,0.435866,0.495456,,,,,,
llama32-3b,truthfulqa_mc2,mc2,q4_k_m,817,0.475801,0.445451,0.506928,0.010851,0.003531,0.018512,817,True,0
llama32-3b,truthfulqa_mc2,mc2,q8_0,817,0.466044,0.436668,0.496514,0.001093,-0.000235,0.002430,817,False,0
llama32-3b,ukps_qa,em,fp16,60,0.616667,0.500000,0.733333,,,,,,
llama32-3b,ukps_qa,em,q4_k_m,60,0.583333,0.466667,0.700000,-0.033333,-0.100000,0.033333,60,False,56
llama32-3b,ukps_qa,em,q8_0,60,0.616667,0.500000,0.733333,0.000000,0.000000,0.000000,60,False,60
llama32-3b,ukps_qa,f1,fp16,60,0.813189,0.751575,0.873668,,,,,,
llama32-3b,ukps_qa,f1,q4_k_m,60,0.801242,0.740562,0.863531,-0.011947,-0.039259,0.015736,60,False,54
llama32-3b,ukps_qa,f1,q8_0,60,0.813189,0.751575,0.873668,0.000000,0.000000,0.000000,60,False,60
llama32-3b,ukps_sum,rouge1,fp16,25,0.495145,0.452322,0.534607,,,,,,
llama32-3b,ukps_sum,rouge1,q4_k_m,25,0.516423,0.477132,0.552454,0.021278,0.003079,0.040689,25,True,0
llama32-3b,ukps_sum,rouge1,q8_0,25,0.491140,0.446171,0.535571,-0.004005,-0.017300,0.008242,25,False,13
llama32-3b,ukps_sum,rouge2,fp16,25,0.233120,0.191183,0.275374,,,,,,
llama32-3b,ukps_sum,rouge2,q4_k_m,25,0.241024,0.204021,0.277707,0.007903,-0.012385,0.028703,25,False,0
llama32-3b,ukps_sum,rouge2,q8_0,25,0.228562,0.184347,0.273480,-0.004559,-0.013650,0.004413,25,False,14
llama32-3b,ukps_sum,rougeL,fp16,25,0.340293,0.296439,0.383232,,,,,,
llama32-3b,ukps_sum,rougeL,q4_k_m,25,0.346935,0.307887,0.385937,0.006643,-0.010627,0.023387,25,False,1
llama32-3b,ukps_sum,rougeL,q8_0,25,0.334466,0.288699,0.380016,-0.005827,-0.014613,0.002675,25,False,13
mistral7b,cnndm,rouge1,fp16,150,0.380784,0.365953,0.394844,,,,,,
mistral7b,cnndm,rouge1,q4_k_m,150,0.389500,0.374794,0.403848,0.008717,0.001539,0.016334,150,True,3
mistral7b,cnndm,rouge1,q8_0,150,0.380316,0.365427,0.394463,-0.000468,-0.004406,0.002932,150,False,64
mistral7b,cnndm,rouge2,fp16,150,0.137006,0.125708,0.148640,,,,,,
mistral7b,cnndm,rouge2,q4_k_m,150,0.144156,0.132034,0.156153,0.007150,0.000717,0.014234,150,True,7
mistral7b,cnndm,rouge2,q8_0,150,0.137281,0.125961,0.148763,0.000275,-0.002684,0.003149,150,False,70
mistral7b,cnndm,rougeL,fp16,150,0.234846,0.223428,0.246245,,,,,,
mistral7b,cnndm,rougeL,q4_k_m,150,0.242966,0.231559,0.254401,0.008120,0.001575,0.014783,150,True,3
mistral7b,cnndm,rougeL,q8_0,150,0.234464,0.222818,0.246047,-0.000382,-0.003735,0.002768,150,False,70
mistral7b,cuad,em,fp16,200,0.065000,0.035000,0.100000,,,,,,
mistral7b,cuad,em,q4_k_m,200,0.055000,0.025000,0.090000,-0.010000,-0.035000,0.010000,200,False,194
mistral7b,cuad,em,q8_0,200,0.065000,0.035000,0.100000,0.000000,0.000000,0.000000,200,False,200
mistral7b,cuad,f1,fp16,200,0.498946,0.458926,0.541475,,,,,,
mistral7b,cuad,f1,q4_k_m,200,0.465535,0.423831,0.507015,-0.033412,-0.059729,-0.008694,200,True,89
mistral7b,cuad,f1,q8_0,200,0.497018,0.454563,0.540146,-0.001928,-0.008526,0.003803,200,False,175
mistral7b,hotpotqa,em,fp16,300,0.423333,0.370000,0.476667,,,,,,
mistral7b,hotpotqa,em,q4_k_m,300,0.430000,0.373333,0.486667,0.006667,-0.016667,0.030000,300,False,286
mistral7b,hotpotqa,em,q8_0,300,0.416667,0.363333,0.473333,-0.006667,-0.016667,0.000000,300,False,298
mistral7b,hotpotqa,f1,fp16,300,0.611407,0.565425,0.657054,,,,,,
mistral7b,hotpotqa,f1,q4_k_m,300,0.625724,0.578305,0.669926,0.014318,-0.005660,0.033986,300,False,254
mistral7b,hotpotqa,f1,q8_0,300,0.609319,0.562515,0.654549,-0.002087,-0.008839,0.003045,300,False,288
mistral7b,truthfulqa_mc1,mc1,fp16,817,0.351285,0.321909,0.385557,,,,,,
mistral7b,truthfulqa_mc1,mc1,q4_k_m,817,0.340269,0.312118,0.374541,-0.011016,-0.026928,0.002448,817,False,782
mistral7b,truthfulqa_mc1,mc1,q8_0,817,0.343941,0.315789,0.378213,-0.007344,-0.014688,-0.001224,817,True,809
mistral7b,truthfulqa_mc2,mc2,fp16,817,0.508799,0.478515,0.541640,,,,,,
mistral7b,truthfulqa_mc2,mc2,q4_k_m,817,0.513243,0.481820,0.546310,0.004444,-0.001894,0.011034,817,False,0
mistral7b,truthfulqa_mc2,mc2,q8_0,817,0.504528,0.474199,0.537851,-0.004272,-0.005880,-0.002788,817,True,0
mistral7b,ukps_qa,em,fp16,60,0.333333,0.216667,0.450000,,,,,,
mistral7b,ukps_qa,em,q4_k_m,60,0.333333,0.216667,0.466667,0.000000,-0.050000,0.050000,60,False,58
mistral7b,ukps_qa,em,q8_0,60,0.350000,0.233333,0.483333,0.016667,0.000000,0.050000,60,False,59
mistral7b,ukps_qa,f1,fp16,60,0.633841,0.556537,0.709025,,,,,,
mistral7b,ukps_qa,f1,q4_k_m,60,0.658909,0.589226,0.732678,0.025068,-0.001554,0.062160,60,False,53
mistral7b,ukps_qa,f1,q8_0,60,0.640984,0.565859,0.715445,0.007143,0.000000,0.021429,60,False,59
mistral7b,ukps_sum,rouge1,fp16,25,0.520180,0.487191,0.554982,,,,,,
mistral7b,ukps_sum,rouge1,q4_k_m,25,0.532728,0.502596,0.564077,0.012548,-0.003136,0.029506,25,False,1
mistral7b,ukps_sum,rouge1,q8_0,25,0.518844,0.485001,0.553186,-0.001336,-0.008449,0.005829,25,False,14
mistral7b,ukps_sum,rouge2,fp16,25,0.247931,0.214341,0.283913,,,,,,
mistral7b,ukps_sum,rouge2,q4_k_m,25,0.266648,0.234222,0.303525,0.018717,-0.000549,0.040803,25,False,1
mistral7b,ukps_sum,rouge2,q8_0,25,0.249867,0.215676,0.284959,0.001936,-0.005171,0.011644,25,False,14
mistral7b,ukps_sum,rougeL,fp16,25,0.349133,0.317276,0.381339,,,,,,
mistral7b,ukps_sum,rougeL,q4_k_m,25,0.365121,0.327393,0.403849,0.015988,-0.004816,0.042233,25,False,1
mistral7b,ukps_sum,rougeL,q8_0,25,0.347153,0.315207,0.379646,-0.001980,-0.009394,0.005117,25,False,14
phi3-mini,cnndm,rouge1,fp16,150,0.373940,0.355007,0.391627,,,,,,
phi3-mini,cnndm,rouge1,q4_k_m,150,0.367657,0.349063,0.384945,-0.006283,-0.014528,0.001814,150,False,3
phi3-mini,cnndm,rouge1,q8_0,150,0.376066,0.357229,0.394135,0.002126,-0.002906,0.007303,150,False,45
phi3-mini,cnndm,rouge2,fp16,150,0.133996,0.120697,0.146206,,,,,,
phi3-mini,cnndm,rouge2,q4_k_m,150,0.127569,0.115145,0.139104,-0.006427,-0.013841,0.001334,150,False,10
phi3-mini,cnndm,rouge2,q8_0,150,0.131936,0.119527,0.143797,-0.002060,-0.005702,0.001386,150,False,52
phi3-mini,cnndm,rougeL,fp16,150,0.235329,0.221669,0.248462,,,,,,
phi3-mini,cnndm,rougeL,q4_k_m,150,0.225272,0.212267,0.237921,-0.010057,-0.017849,-0.002164,150,True,2
phi3-mini,cnndm,rougeL,q8_0,150,0.232933,0.219476,0.246182,-0.002396,-0.006332,0.001634,150,False,47
phi3-mini,cuad,em,fp16,200,0.045000,0.020000,0.075000,,,,,,
phi3-mini,cuad,em,q4_k_m,200,0.040000,0.015000,0.070000,-0.005000,-0.030000,0.020000,200,False,193
phi3-mini,cuad,em,q8_0,200,0.045000,0.020000,0.075000,0.000000,0.000000,0.000000,200,False,200
phi3-mini,cuad,f1,fp16,200,0.368500,0.324278,0.415730,,,,,,
phi3-mini,cuad,f1,q4_k_m,200,0.338098,0.298297,0.383684,-0.030402,-0.059232,0.000425,200,False,101
phi3-mini,cuad,f1,q8_0,200,0.367134,0.323346,0.414870,-0.001366,-0.010975,0.008519,200,False,167
phi3-mini,hotpotqa,em,fp16,300,0.343333,0.293333,0.396667,,,,,,
phi3-mini,hotpotqa,em,q4_k_m,300,0.320000,0.266667,0.373333,-0.023333,-0.053333,0.006667,300,False,279
phi3-mini,hotpotqa,em,q8_0,300,0.350000,0.300000,0.403333,0.006667,0.000000,0.016667,300,False,298
phi3-mini,hotpotqa,f1,fp16,300,0.477914,0.430470,0.526251,,,,,,
phi3-mini,hotpotqa,f1,q4_k_m,300,0.452814,0.403014,0.500515,-0.025100,-0.052801,0.003747,300,False,252
phi3-mini,hotpotqa,f1,q8_0,300,0.485339,0.436459,0.532211,0.007425,-0.003266,0.019873,300,False,290
phi3-mini,truthfulqa_mc1,mc1,fp16,817,0.332925,0.302326,0.367197,,,,,,
phi3-mini,truthfulqa_mc1,mc1,q4_k_m,817,0.323133,0.292534,0.354957,-0.009792,-0.025704,0.004896,817,False,777
phi3-mini,truthfulqa_mc1,mc1,q8_0,817,0.325581,0.294982,0.359853,-0.007344,-0.013464,-0.002448,817,True,811
phi3-mini,truthfulqa_mc2,mc2,fp16,817,0.502850,0.474907,0.531391,,,,,,
phi3-mini,truthfulqa_mc2,mc2,q4_k_m,817,0.487507,0.457612,0.516642,-0.015344,-0.024642,-0.007683,817,True,1
phi3-mini,truthfulqa_mc2,mc2,q8_0,817,0.502048,0.474486,0.531352,-0.000802,-0.002533,0.000997,817,False,0
phi3-mini,ukps_qa,em,fp16,60,0.266667,0.166667,0.383333,,,,,,
phi3-mini,ukps_qa,em,q4_k_m,60,0.183333,0.083333,0.283333,-0.083333,-0.150000,-0.016667,60,True,55
phi3-mini,ukps_qa,em,q8_0,60,0.283333,0.183333,0.400000,0.016667,0.000000,0.050000,60,False,59
phi3-mini,ukps_qa,f1,fp16,60,0.559536,0.476559,0.641564,,,,,,
phi3-mini,ukps_qa,f1,q4_k_m,60,0.493831,0.415057,0.569876,-0.065705,-0.116781,-0.025837,60,True,46
phi3-mini,ukps_qa,f1,q8_0,60,0.575790,0.490182,0.655448,0.016254,0.000000,0.037386,60,False,55
phi3-mini,ukps_sum,rouge1,fp16,25,0.476789,0.442163,0.508081,,,,,,
phi3-mini,ukps_sum,rouge1,q4_k_m,25,0.456476,0.422929,0.491976,-0.020313,-0.047854,0.004543,25,False,0
phi3-mini,ukps_sum,rouge1,q8_0,25,0.469697,0.439002,0.500558,-0.007092,-0.025377,0.010972,25,False,6
phi3-mini,ukps_sum,rouge2,fp16,25,0.209004,0.173903,0.245681,,,,,,
phi3-mini,ukps_sum,rouge2,q4_k_m,25,0.194776,0.162041,0.227251,-0.014228,-0.035298,0.004976,25,False,0
phi3-mini,ukps_sum,rouge2,q8_0,25,0.193804,0.163533,0.223750,-0.015200,-0.043813,0.006603,25,False,6
phi3-mini,ukps_sum,rougeL,fp16,25,0.315002,0.279434,0.350694,,,,,,
phi3-mini,ukps_sum,rougeL,q4_k_m,25,0.306946,0.278263,0.335806,-0.008056,-0.028905,0.010024,25,False,0
phi3-mini,ukps_sum,rougeL,q8_0,25,0.305755,0.272289,0.341077,-0.009248,-0.027469,0.009588,25,False,6
